"Value","Reference","Footprint","JLCPCB Part No.","Qty","DNP","Price"
"0.1uF","C1,C2,C5,C6,C9","Capacitor_SMD:C_0402_1005Metric","C1525","5","","0.011"
"22uF","C3,C4,C7,C8","Capacitor_SMD:C_1206_3216Metric","C12891","4","","0.0443"
"16-Pin LCD","J1","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","","1","DNP",""
"PWR","J2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","1","DNP",""
"Inter Board","J3","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","1","DNP",""
"Conn_01x19","J4,J5","Connector_PinHeader_2.54mm:PinHeader_1x19_P2.54mm_Vertical","","2","DNP",""
"4.7K","R1,R3","Resistor_SMD:R_0603_1608Metric","C23162","2","","0.0011"
"120","R2","Resistor_SMD:R_0603_1608Metric","C22787","1","","0.0011"
"LCD Pot","RV1","ThesisLib:10KPot","","1","DNP",""
"ESP32-DEVKITC-32E","U1","ThesisLib:MODULE_ESP32-DEVKITC-32E-Edited2","","1","DNP",""
"AMS1117-5.0","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6187","1","","0.1913"
"SP3485EN","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C8963","1","","0.2048"
"AMS1117-3.3","U4","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186","1","","0.1653"
